category,query,language,engine,title,link,source,publication_info,pdf_link,date,snippet,position,year_min,year_max,occurrences,label,confidence,pmesii,source_type,admiralty_source_reliability,admiralty_info_credibility,rationale
events,"""EU aid infrastructure Moldova 2025""",en,web,Parliament approves new support plan for Moldova | News,https://www.europarl.europa.eu/news/en/press-room/20250310IPR27218/parliament-approves-new-support-plan-for-moldova,European Parliament,,,"Mar 11, 2025","On Tuesday, the European Parliament gave its green light to a new support facility for Moldova, focusing on better financing and democratic oversight.",1,2024,2025,1,non_intel,0.6,[],gov,A,3,"The article discusses a support facility for Moldova focusing on financing and democratic oversight, but lacks specific details on infrastructure systems or dependencies."
events,"""EU aid infrastructure Moldova 2025""",en,web,Joint Declaration following the first EU-Republic of Moldova ...,https://enlargement.ec.europa.eu/news/joint-declaration-following-first-eu-republic-moldova-summit-2025-07-04_en,Enlargement and Eastern Neighbourhood,,,"Jul 4, 2025","EU support to Moldova in the modernisation of its defence capabilities will continue, including €60 million of the European Peace Facility (EPF) budget in 2025 ...",2,2024,2025,1,non_intel,0.7,[],gov,A,3,"The snippet mentions EU support for Moldova's defense capabilities, but does not provide actionable details on infrastructure or dependencies relevant to the research question."
events,"""EU aid infrastructure Moldova 2025""",en,web,Moldova: an unprecedented financial assistance package ...,https://www.osw.waw.pl/en/publikacje/analyses/2025-02-24/moldova-unprecedented-financial-assistance-package-eu,OSW Ośrodek Studiów Wschodnich,,,"Feb 24, 2025","Under this plan, Moldova is set to receive €1.885 billion in aid between 2025 and 2027, including €385 million in non-repayable grants and €1.5 billion in ...",3,2024,2025,1,non_intel,0.7,[],think_tank,B,3,"The article outlines financial aid to Moldova but lacks specific information on infrastructure systems, dependencies, or vulnerabilities."
events,"""EU aid infrastructure Moldova 2025""",ro,web,Support for EU Integration - EU for ...,https://eu4moldova.eu/en/support-for-eu-integration/,EU for Moldova,,,"Aug 29, 2025","The Internship Programme focuses on topics of EU – Republic of Moldova relations, and namely on the process of EU integration.",1,2024,2025,1,non_intel,0.5,[],NGO,C,4,"The snippet focuses on EU-Moldova relations and integration, without specific details on infrastructure or dependencies."
events,"""EU aid infrastructure Moldova 2025""",ro,web,Joint motion for a resolution - European Parliament,https://www.europarl.europa.eu/doceo/document/RC-10-2025-0355_EN.html,European Parliament,,,"Sep 5, 2025","Welcomes the smooth adoption of the EUR 1.9 billion Growth Plan for Moldova, which represents an unprecedented level of support aimed at boosting the Moldovan ...",2,2024,2025,1,non_intel,0.6,[],gov,A,3,The resolution discusses financial support for Moldova but does not provide specific details on infrastructure systems or dependencies.
events,"""EU aid infrastructure Moldova 2025""",ro,web,Moldova invests 208 million lei in local and regional ...,https://moldovainvest.eu/en/international-en/moldova-invests-208-million-lei-in-local-and-regional-development-11-projects-approved-for-2025-2027/,Moldova Invest,,,"Oct 2, 2025",Moldova invests 208 million lei in local and regional development: 11 projects approved for 2025–2027 · Details of the approved projects · Investment context and ...,3,2024,2025,1,non_intel,0.6,[],other,C,4,The article mentions investment in local and regional development but lacks specific details on infrastructure systems or actors relevant to Moldova's vulnerabilities.
general,"""Moldova energy"" OR ""energy security Moldova""",en,web,Moldova's Energy Future,https://www.csis.org/analysis/moldovas-energy-future,CSIS | Center for Strategic and International Studies,,,"Oct 11, 2024","Most importantly, this piece includes potential and crucial solutions to continue progressing toward Moldova's energy independence. This report is made possible ...",1,2024,2025,1,intel,0.8,['Capabilities'],think_tank,B,3,"The report discusses solutions for Moldova's energy independence, relevant to its infrastructural capabilities and vulnerabilities to external influence."
general,"""Moldova energy"" OR ""energy security Moldova""",en,web,European Commission and Moldova agree on a 2-year ...,https://enlargement.ec.europa.eu/news/european-commission-and-moldova-agree-2-year-comprehensive-strategy-energy-independence-and-2025-02-04_en,Enlargement and Eastern Neighbourhood,,,"Feb 4, 2025","Today Moldova's energy system is providing electricity and heat without any blackouts. ... So far, the EU has already provided €240 million in direct budget ...",2,2024,2025,1,intel,0.9,"['Structures', 'Capabilities', 'Organisations']",gov,A,2,"The article details EU-Moldova energy strategy, highlighting structural and organizational aspects crucial for Moldova's energy independence and resilience."
general,"""Moldova energy"" OR ""energy security Moldova""",en,web,MOLDOVA MOLDOVA ENERGY SECURITY,https://www.ebrd.com/content/dam/ebrd_dxp/documents/project/56466/Moldova%20Energy%20Security.pdf,EBRD,,,"Jun 11, 2025","In addition to Moldova's energy security, the Project will contribute to continued energy sector reforms in Moldova under the ENERSAP 2.0, which will help the ...",3,2024,2025,1,intel,0.85,"['Capabilities', 'Structures']",company,B,3,"The document discusses energy security and sector reforms, relevant to Moldova's infrastructural capabilities and structural dependencies."
general,"""Moldova energy"" OR ""energy security Moldova""",en,scholar,The Energy Security of the Republic of Moldova Concerning the Policies Adopted by the European Union–A Multi-Facetted and Complex Topic,https://sciendo.com/2/v2/download/article/10.2478/picbe-2024-0202.pdf,,"ION Iulian, VM Dincă - Proceedings of the International Conference on …, 2024 - sciendo.com",https://sciendo.com/2/v2/download/article/10.2478/picbe-2024-0202.pdf,,"The new geopolitical dynamic has brought a series of energy security transformations in the Central and Eastern European region. The Republic of Moldova, located at the confluence …",,2024,2025,1,intel,0.7,"['Capabilities', 'Events']",journal,C,4,"The paper addresses energy security transformations in Moldova, relevant to its infrastructural capabilities and recent geopolitical events."
general,"""Moldova energy"" OR ""energy security Moldova""",en,scholar,The Transition to Green Energy as a Strategy for Strengthening the Economic Security of the Republic of Moldova,https://irek.ase.md/jspui/handle/123456789/4318,,V Cutcovschi - 2025 - irek.ase.md,https://irek.ase.md/xmlui/bitstream/handle/123456789/4318/5.%20EEJRS_issue%201_2025-%20CUTCOVSCHI.pdf?sequence=1&isAllowed=y,,"… Moldova's energy system heavily depends on outside sources, with 82.78% of its total energy needs in 2022 met by imports. In 2022, electricity demand was 4.4 TWh. Of that, 10.72% …",,2024,2025,1,intel,0.8,"['Capabilities', 'Structures']",journal,B,2,"The article provides concrete data on Moldova's energy import dependency and electricity demand, relevant for assessing vulnerabilities and external influence potential."
general,"""Moldova transport infrastructure"" OR ""roads rail Moldova""",en,web,Moldova and Transport Community: Productive meetings ...,https://www.transport-community.org/news/moldova-and-transport-community-productive-meetings-highlight-progress-in-transport-sector-and-eu-integration/,Transport Community,,,"Aug 21, 2024","This innovative action, aimed at improving the efficiency and safety of Moldova's transport infrastructure, is open for tender and accessible via the ...",1,2024,2025,1,intel,0.7,"['Structures', 'Events']",other,C,3,"The snippet indicates ongoing efforts to improve Moldova's transport infrastructure, relevant for understanding EU integration and infrastructure resilience."
general,"""Moldova transport infrastructure"" OR ""roads rail Moldova""",en,web,eu project page,https://eu4moldova.eu/en/projects/eu-project-page/?id=1945,EU for Moldova,,,"Feb 21, 2025","It involves a comprehensive analysis of Moldova's transport infrastructure and services, providing strategic guidance and actionable recommendations to the ...",2,2024,2025,1,intel,0.9,"['Structures', 'Capabilities']",other,B,2,"The project involves strategic guidance on Moldova's transport infrastructure, offering actionable insights into its capabilities and integration with EU standards."
general,"""Moldova transport infrastructure"" OR ""roads rail Moldova""",en,web,Reform Agenda under the Republic of Moldova`s Growth ...,https://mded.gov.md/wp-content/uploads/2025/05/Agenda-_260-en.pdf,Ministerul Dezvoltării Economice și Digitalizării,,,"May 3, 2025","Moldova's transport infrastructure currently fails to meet the standards and functional capacities required by the EU, presenting a challenge in terms of ...",3,2024,2025,1,intel,0.8,"['Capabilities', 'Structures']",gov,A,2,"The document discusses Moldova's transport infrastructure challenges in meeting EU standards, relevant for assessing vulnerabilities and integration efforts."
general,"""Moldova telecommunications infrastructure"" OR ""broadband Moldova""",en,web,"Moldova's Telecom Sector: Bridging Gaps, Building ...",https://www.telecomrevieweurope.com/articles/reports-and-coverage/moldovas-telecom-sector-bridging-gaps-building-tomorrow/,Telecom Review Europe,,,"Feb 17, 2025","Moldova's telecommunications infrastructure has seen significant growth, with 4.24 million cellular mobile connections reported at the start of 2024 ...",1,2024,2025,1,intel,0.7,"['Capabilities', 'Structures']",report,B,3,"The report highlights growth in Moldova's telecommunications infrastructure, relevant for understanding capabilities and potential vulnerabilities."
general,"""Moldova telecommunications infrastructure"" OR ""broadband Moldova""",en,web,nPerf награды исправлено Молдова 2024,https://www.nperf.com/ru/awards/md/2024/broadband/moldova,nPerf.com,,,"Jan 14, 2025","Лучшая производительность Фиксированная линия Интернета за 2024 ; 2, Orange, 214,7 ; 3, Moldtelecom, 110,0 ; 4, Moldcell, 127,8 ; 5, IDC, 59,4 ...",2,2024,2025,1,intel,0.8,['Capabilities'],company,B,3,"The source provides specific performance metrics for internet providers in Moldova, indicating capabilities and potential vulnerabilities in telecommunications infrastructure."
general,"""Moldova telecommunications infrastructure"" OR ""broadband Moldova""",en,web,vocab.txt,https://huggingface.co/amitness/mergedistill-mt-en/raw/main/vocab.txt,Hugging Face,,,"Feb 9, 2024",... broadband Moldova installazzjonijiet Kondotta tinbeda ##likata konvin ##daħħ ttieħdet NB Konsegwentement ġenerazzjonijiet ##qsin ##jegati Cont msejħa Noel ...,3,2024,2025,1,non_intel,0.2,[],other,F,6,The snippet appears to be a random text string without context or relevance to Moldova's infrastructure.
general,"""Moldova telecommunications infrastructure"" OR ""broadband Moldova""",en,scholar,Infrastructure as a Determinant of the National Competitiveness,https://ibn.idsi.md/vizualizare_articol/209503,,"A Stratan - Across, 2024 - ibn.idsi.md",https://ibn.idsi.md/sites/default/files/imag_file/31-38_30.pdf,,"Cognizant of the instrumental role infrastructure plays in the underpinning of international competitiveness, Moldova's public custodians have been actively marshalling resources and …",,2024,2025,1,non_intel,0.5,[],journal,C,4,The snippet is too vague and lacks specific details about Moldova's infrastructure systems or dependencies.
general,"""Moldova water infrastructure"" OR ""utilities Moldova""",en,web,Edinet Water Treatment Plant construction has started and ...,https://eu4moldova.eu/en/edinet-water-treatment-plant-construction-has-started-and-will-serve-approximately-25800-residents/,EU for Moldova,,,"Apr 9, 2025","... Moldova's water infrastructure. Through this investment in Edinet and additional efforts in Cupcini and Bratuseni, we are proud to support communities in ...",1,2024,2025,1,intel,0.9,"['Areas', 'Structures', 'Events']",NGO,A,2,"The source details a specific infrastructure project in Moldova, providing insights into water infrastructure development and EU involvement."
general,"""Moldova water infrastructure"" OR ""utilities Moldova""",en,web,Advertiser Directory - Affiliate Program,https://optimisemedia.com/advertiser-directory/,optimisemedia.com,,,"Sep 12, 2024",... UtilitiesMoldova | BusinessMoldova | CharitiesMoldova | EducationMoldova | EmploymentMoldova | Fashion & BeautyMoldova | FinanceMoldova | GroceryMoldova ...,2,2024,2025,1,non_intel,0.3,[],other,E,5,The directory listing lacks substantive information on Moldova's infrastructure or dependencies.
